papel,cotação,p_l,p_vp,psr,div_yield,p_ativo,p_cap_giro,p_ebit,p_ativ_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg__líq_,liq__corr_,roic,roe,liq_2meses,patrim__líq,dív_brut__patrim_,cresc__rec_5a
USIM3,7.60,10.60,0.40,0.299,3.93,0.237,0.63,2.58,1.47,2.66,2.13,11.56,4.31,3.90,11.53,3.80,2531610.00,23642800000.00,0.26,27.90
SANB11,29.82,10.64,1.35,0.000,5.95,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.71,49934300.00,82695600000.00,0.00,-4.70
AESL3,10081.90,10.65,2.86,1.087,0.00,0.699,145.65,4.95,-1.21,7.73,6.52,21.95,10.21,1.03,15.42,26.86,0.00,3967980000.00,1.72,27.43
AESL4,10081.90,10.65,2.86,1.087,0.00,0.699,145.65,4.95,-1.21,7.73,6.52,21.95,10.21,1.03,15.42,26.86,0.00,3967980000.00,1.72,27.43
BTTL3,20.19,10.68,7.92,0.546,0.00,1.535,19.75,9.55,-5.67,9.95,7.79,5.71,5.11,1.17,22.56,74.12,395854.00,37891000.00,1.12,39.72
TRFO4,4.70,10.70,2.68,0.835,0.00,1.078,4.82,5.73,7.65,5.33,5.33,14.58,7.80,1.43,27.63,25.01,0.00,76165000.00,0.26,16.47
CRPG5,36.67,10.75,1.27,1.382,26.25,0.960,2.08,16.53,2.64,14.44,10.53,8.36,12.85,4.17,7.03,11.82,262618.00,837085000.00,0.01,8.78
SMLS3,22.40,10.78,4.09,4.212,0.00,1.017,18.78,10.37,-6.72,10.13,9.06,40.62,39.07,1.10,10.69,37.96,0.00,679678000.00,0.00,-22.20
BESP4,344.00,10.82,2.57,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.77,0.00,5183100000.00,0.00,1.83
TTEN3,13.53,10.89,2.35,0.909,0.00,1.048,4.43,11.72,7.55,12.06,11.25,7.75,8.35,1.52,17.55,21.55,11762200.00,2873630000.00,0.45,26.94
MELK3,4.36,10.93,0.73,0.802,8.45,0.388,0.64,10.57,0.98,8.43,8.04,7.59,10.01,3.86,4.44,6.70,780895.00,1228400000.00,0.15,35.34
HBOR3,3.83,10.96,0.37,0.531,2.37,0.098,0.24,6.86,4.17,27.65,20.39,7.73,11.30,3.14,1.53,3.39,2504910.00,1378720000.00,1.32,0.54
PTBL3,7.81,10.97,2.40,0.510,6.63,0.400,7.76,4.50,-1.07,7.50,5.30,11.34,4.65,1.13,12.55,21.89,9089390.00,458473000.00,2.45,22.28
BMIN3,21.75,11.04,0.79,0.000,6.53,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,6255.23,133185000.00,0.00,19.60
GRNL4,470.00,11.09,1.07,7.231,0.00,0.975,8.04,-64.72,15.01,-63.22,-63.22,-11.17,65.19,4.35,-1.65,9.69,0.00,93104000.00,0.05,21.48
ELUM3,36.00,11.12,1.50,0.940,0.00,0.886,2.31,14.76,2.51,10.02,10.02,6.37,8.46,2.02,9.40,13.47,0.00,443231000.00,0.08,8.40
VLID3,13.98,11.21,0.89,0.625,3.17,0.421,1.74,2.67,-137.11,3.96,3.15,23.38,5.01,1.89,19.51,7.98,6649300.00,1278970000.00,0.71,1.74
RIPI3,48.01,11.23,-28.94,-7.449,0.00,7.092,-59.55,-8.79,-16.76,-9.31,-9.31,84.70,-66.31,0.87,-99.10,-257.61,0.00,-49103000.00,-2.44,5.82
ALLL3,3.97,11.24,0.48,0.735,0.00,0.162,1.94,2.64,-0.35,6.74,3.97,27.85,6.52,1.76,7.03,4.29,0.00,15270400000.00,1.09,9.50
PATI3,34.65,11.24,0.98,0.380,1.39,0.449,0.85,13.08,1.61,12.10,10.19,2.90,3.38,2.79,6.64,8.73,2579.34,845132000.00,0.67,26.24
CZLT33,29.23,11.24,1.39,0.526,0.00,0.145,1.87,3.10,-0.29,10.26,4.03,16.97,9.14,1.58,5.31,12.36,0.00,5691680000.00,3.93,7.88
SANB4,15.76,11.25,1.43,0.000,5.90,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.71,2008390.00,82695600000.00,0.00,-4.70
PGMN3,4.32,11.30,0.88,0.204,4.12,0.237,1.73,6.28,-0.91,10.60,4.47,3.24,1.80,1.42,4.75,7.79,3957260.00,2278080000.00,0.66,11.13
RIPI4,48.50,11.35,-29.24,-7.525,0.00,7.164,-60.16,-8.88,-16.93,-9.40,-9.40,84.70,-66.31,0.87,-99.10,-257.61,0.00,-49103000.00,-2.44,5.82
EQPA5,8.64,11.45,5.78,2.126,10.43,1.479,16.76,7.67,-3.51,9.32,8.01,27.72,18.57,1.38,23.60,50.45,0.00,3303480000.00,1.69,14.86
EBCO4,1.00,11.46,0.80,0.330,0.00,0.351,50.21,8.51,-14.31,8.26,8.26,3.88,2.90,1.01,5.04,7.00,0.00,828097000.00,0.02,6.09
VITT3,11.87,11.56,2.89,2.013,2.78,1.768,4.51,10.53,6.26,12.09,10.88,19.11,17.13,2.43,17.78,24.99,2628440.00,587604000.00,0.48,20.63
TEMP3,4.15,11.64,4.92,0.980,0.00,2.014,9.98,10.60,19.39,9.55,7.74,9.25,8.42,1.41,34.49,42.27,0.00,135736000.00,0.23,-13.11
CRPG3,40.00,11.73,1.39,1.507,24.06,1.048,2.27,18.03,2.88,15.94,11.63,8.36,12.85,4.17,7.03,11.82,1308.34,837085000.00,0.01,8.78
BPAC5,8.22,11.77,2.14,0.000,2.66,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.17,86610.90,44207600000.00,0.00,84.30
0FG3,64.37,11.80,2.76,1.102,0.00,1.153,3.20,7.35,60.48,8.64,6.57,14.99,9.28,2.52,19.92,23.42,0.00,316392000.00,0.81,9.49
0FG4,64.42,11.81,2.76,1.103,0.00,1.154,3.20,7.36,60.52,8.65,6.57,14.99,9.28,2.52,19.92,23.42,0.00,316392000.00,0.81,9.49
BRML3,8.26,11.94,0.61,4.732,0.00,0.377,18.14,7.76,-1.25,9.88,8.97,61.00,43.47,1.37,5.14,5.15,0.00,11125900000.00,0.25,2.77
FIBR3,66.30,12.03,2.59,2.010,7.59,0.899,9.59,5.13,-2.54,7.17,5.29,39.18,16.75,1.46,22.95,21.57,0.00,14149000000.00,1.46,22.71
EBCO3,1.05,12.03,0.84,0.346,0.00,0.368,52.72,8.94,-15.02,8.68,8.68,3.88,2.90,1.01,5.04,7.00,0.00,828097000.00,0.02,6.09
SMTO3,34.59,12.06,2.07,1.848,3.61,0.651,3.99,7.89,-1.70,12.13,5.12,23.42,15.33,2.17,10.04,17.18,72614400.00,5912360000.00,1.63,19.67
GRND3,7.58,12.09,2.02,2.719,19.03,1.374,3.62,22.02,3.70,16.80,12.90,12.35,22.49,2.23,10.10,16.69,14286100.00,3388940000.00,0.07,4.12
TUPY4,48.21,12.09,2.24,0.655,0.00,0.693,2.24,7.45,-9.43,9.84,7.20,8.79,5.46,2.01,12.71,18.48,0.00,3109530000.00,1.10,21.52
FIQE3,4.16,12.19,1.47,2.065,2.02,0.789,5.52,8.78,-5.94,8.03,3.92,23.51,16.94,1.76,12.45,12.07,799315.00,1023520000.00,0.34,39.71
MPLU3,26.80,12.20,17.37,6.877,0.00,2.676,50.65,10.34,66.01,7.71,7.28,66.52,56.37,1.06,129.57,142.40,0.00,250279000.00,0.00,-18.88
OFSA3,25.27,12.25,1.86,1.355,2.51,1.038,2.38,9.21,5.90,10.40,8.51,14.72,11.06,3.43,14.62,15.15,255027.00,734233000.00,0.56,15.66
LAVV3,7.34,12.26,1.26,2.382,7.05,0.746,1.16,15.29,1.64,10.45,10.36,15.58,21.92,4.59,6.72,10.26,3521420.00,1164480000.00,0.04,22.85
MILS3,12.15,12.36,2.32,2.533,2.29,1.133,5.77,7.88,-7.36,9.03,6.12,32.13,20.48,2.22,19.90,18.79,12928600.00,1288210000.00,0.76,38.70
CEDO3,11.63,12.37,0.89,0.095,0.00,0.129,6.23,0.99,-0.47,2.94,2.47,9.58,0.00,1.04,16.67,7.19,33328.80,130718000.00,1.94,18.27
AMPI3,55.00,12.41,2.74,0.247,0.00,0.177,5.68,0.98,-0.68,1.99,1.73,25.18,15.11,1.12,21.22,22.09,0.00,240799000.00,4.48,14.12
ALUP11,29.45,12.50,1.25,2.523,5.09,0.314,3.00,3.34,-0.73,6.66,6.32,75.56,36.89,2.15,10.51,10.00,25410200.00,7183090000.00,1.64,6.51
EGIE3,44.70,12.58,3.95,3.102,7.42,0.921,27.93,6.81,-1.63,9.54,8.08,45.55,24.68,1.19,14.82,31.37,72175000.00,9244140000.00,1.90,7.06
JOPA4,33.80,12.58,0.63,0.159,2.67,0.148,0.48,3.33,2.78,9.39,8.20,4.77,1.57,1.71,6.66,5.00,232.32,568588000.00,2.24,20.30
ALUP4,9.90,12.60,1.26,2.545,5.05,0.316,3.03,3.37,-0.74,6.69,6.34,75.56,36.89,2.15,10.51,10.00,250384.00,7183090000.00,1.64,6.51
PLPL3,9.42,12.62,4.26,1.228,1.70,1.145,1.90,4.97,6.86,5.55,5.23,24.74,9.82,3.06,32.13,33.75,8608470.00,451563000.00,1.09,24.18
ALUP3,9.92,12.63,1.26,2.550,5.04,0.317,3.03,3.37,-0.74,6.70,6.35,75.56,36.89,2.15,10.51,10.00,172398.00,7183090000.00,1.64,6.51
PDTC3,2.40,12.63,1.38,0.506,0.00,0.396,1.15,7.37,-1405.24,10.18,5.74,6.87,4.01,1.94,7.11,10.91,355817.00,136587000.00,0.87,0.00
TMGC7,800.01,12.68,1.63,1.164,0.00,1.120,6.77,17.85,11.96,16.52,16.52,6.52,9.18,1.69,8.73,12.83,0.00,1167010000.00,0.05,10.49
RDNI3,5.91,12.82,0.40,0.388,2.44,0.115,1.01,8.29,-0.30,28.82,25.12,4.69,4.67,1.54,1.45,3.15,62229.00,640766000.00,1.08,32.98
ECOR3,6.37,12.95,1.84,0.680,0.12,0.230,-5.02,2.37,-0.32,7.96,5.96,28.73,5.14,0.76,11.08,14.17,35899300.00,2416440000.00,5.22,16.83
CURY3,15.97,12.95,5.53,1.938,1.69,1.705,3.41,9.00,12.53,8.51,8.40,21.53,15.77,2.77,27.50,42.65,30560200.00,843586000.00,0.56,38.34
AVIL3,0.93,12.97,4.16,2.338,0.00,2.227,3.89,10.00,9.02,9.40,9.40,23.38,18.01,5.14,40.99,32.03,0.00,1106590000.00,0.52,1.74
DXTG4,3.68,13.02,1.32,0.675,0.00,0.689,2.44,6.26,7.48,6.33,6.33,10.78,6.60,2.77,12.31,10.10,0.00,768999000.00,0.04,8.30
MOVI3,11.50,13.05,1.47,0.403,3.69,0.184,1.61,1.65,-0.31,6.16,4.05,24.37,3.09,1.70,14.28,11.28,46863400.00,2830870000.00,5.40,36.70
