ticker,preco,dy,p_l,p_vp,p_ativos,margem_bruta,margem_ebit,marg_liquida,p_ebit,ev_ebit,divida_liquida___ebit,div_liq___patri,psr,p_cap_giro,p_at_cir_liq,liq_corrente,roe,roa,roic,patrimonio___ativos,passivos___ativos,giro_ativos,cagr_receitas_5_anos,cagr_lucros_5_anos,liquidez_media_diaria,vpa,lpa,peg_ratio,valor_de_mercado
LAME4,6.57,0,21.06,1.90,0.28,32.90,4.35,2.27,10.98,16.86,5.87,1.01,0.48,1.19,-0.65,1.72,9.02,1.34,2.89,0.15,0.63,0.59,3.50,18.61,0,3.46,0.31,-46.75,12391135396.59
LAND3,25.40,5.33,16.85,3.30,2.48,93.20,62.60,150.63,40.55,42.61,2.06,0.17,25.39,410.92,-2.68,1.09,19.55,14.71,-3.58,0.75,0.25,0.10,0,0,3007081.19,7.71,1.51,0.02,2444164834.80
LAVV3,8.74,5.92,14.60,1.50,0.89,32.78,16.49,19.42,17.20,12.63,-4.57,-0.40,2.84,1.38,-4.94,4.59,10.26,6.08,6.01,0.59,0.36,0.31,122.69,0,5905418.04,5.84,0.60,-0.43,1743930236.48
LCAM3,24.15,0,35.58,1.98,0.62,38.11,30.06,4.32,5.11,9.81,4.70,1.82,1.54,44.77,-0.74,1.10,5.58,1.76,9.72,0.31,0.69,0.41,49.27,41.63,0,12.17,0.68,-0.50,12285815275.65
LEVE3,45.91,9.43,9.44,3.44,1.83,27.89,18.36,14.42,7.41,7.44,0.03,0.01,1.36,5.74,-4.84,2.05,36.43,19.38,28.15,0.53,0.47,1.34,13.28,21.50,10297960.11,13.44,4.90,0.82,5930418870.00
LHER3,0.00,0,0.00,0.00,0.00,63.41,22.35,10.99,0.00,-3.77,-3.77,-0.15,0.00,0.00,0.00,6.36,1.95,0.67,3.94,0.34,0.66,0.06,4.31,-51.59,0,141.54,2.76,0.00,0.00
LHER4,0.00,0,0.00,0.00,0.00,63.41,22.35,10.99,0.00,-3.77,-3.77,-0.15,0.00,0.00,0.00,6.36,1.95,0.67,3.94,0.34,0.66,0.06,4.31,-51.59,0,141.54,2.76,0.00,0.00
LIGT3,7.32,0,-0.50,0.92,0.11,16.36,-13.29,-40.97,-1.53,-6.46,-4.93,2.96,0.20,-14.60,-0.14,0.96,-184.92,-22.91,-16.89,0.12,0.88,0.56,3.21,0,31511066.15,7.92,-14.65,0.00,2704751652.24
LINX3,37.40,0,-90.95,4.38,2.74,68.70,-4.79,-8.67,-164.48,-159.30,5.18,-0.14,7.88,11.96,-4.82,2.14,-4.81,-3.02,-2.23,0.63,0.37,0.35,14.30,0,0,8.55,-0.41,0.13,7083895104.00
LIPR3,73.20,3.24,31.88,3.76,3.46,0,0,0,36.49,34.72,-1.76,-0.18,0,19.46,-4.41,5.87,11.78,10.86,9.97,0.92,0.08,0.00,0,-7.18,25530.00,19.49,2.30,5.99,861189874.80
LJQQ3,6.41,0,-39.04,2.33,0.42,33.13,2.93,-1.32,17.55,18.90,1.35,0.18,0.52,1.42,-1.18,1.84,-5.96,-1.07,5.89,0.18,0.82,0.81,18.92,0,20946431.93,2.76,-0.16,0.23,1202403526.98
LOGG3,20.20,4.55,9.16,0.57,0.33,98.66,174.39,115.88,5.94,10.49,3.71,0.44,8.37,3.63,-0.39,0.98,7.81,4.70,7.57,0.60,0.38,0.04,16.90,49.79,6425835.56,35.67,2.20,-0.20,2062593319.26
LOGN3,49.07,0,13.64,5.73,1.54,23.90,17.32,17.19,13.53,15.79,2.25,0.95,2.34,12.32,-2.23,1.68,41.99,11.28,10.27,0.27,0.73,0.66,18.84,0,4652047.15,8.56,3.59,0.12,5248023258.36
LPSB3,2.81,0.73,29.27,2.14,1.06,80.88,17.19,7.40,12.59,10.96,-1.64,-0.28,2.17,12.50,-1.43,1.50,7.31,3.63,9.03,0.50,0.51,0.49,11.92,0,332970.33,1.33,0.10,-0.44,419055152.04
LREN3,19.15,3.77,18.15,1.90,0.92,60.24,9.21,8.54,17.97,17.60,-0.30,-0.04,1.39,3.69,-2.27,1.75,11.86,5.82,9.97,0.49,0.51,0.68,12.26,9.37,455597752.07,10.08,1.05,-1.67,18445796915.95
LTEL3B,86.61,1.41,11.99,5.76,5.34,0,0,0,12.07,11.93,-0.14,-0.07,0,-578.00,-5.70,0.87,48.04,44.50,47.72,0.93,0.07,0.00,0,-10.63,0,15.03,7.22,-0.62,18664056853.83
